Date,Disaster_Type,Temperature,Wind_Speed,Rainfall,Population_Density,Infrastructure_Quality,Impact
2021-11-02,Earthquake,26.236203565420873,101.44070246797331,298.9126547733588,973,Low,9559260.858330216
2016-01-05,Hurricane,43.52142919229749,120.99173654688025,266.3296769851226,2375,High,3202764.803574287
2018-01-18,Tornado,36.95981825434215,214.3641113345342,140.92313000228805,65,Medium,9034290.038134655
2013-10-17,Flood,32.959754525911094,88.30107458467357,485.81333608119036,2453,High,2365696.9306526207
2013-04-23,Tornado,19.680559213273096,218.06417277898197,381.2993284069031,405,Medium,1990592.0878165693
2019-08-03,Tornado,19.67983561008608,26.592935589289414,692.5607938592029,879,High,5238055.018678433
2020-05-26,Hurricane,16.742508365045985,195.31561711611454,25.687664385646602,2696,High,6757862.556044319
2010-03-19,Wildfire,40.98528437324806,212.6491700984104,515.094342044101,1151,High,538889.2829425861
2014-04-17,Tornado,33.03345035229626,49.545324945147996,610.359102809249,1140,Low,2288552.0639674454
2022-06-13,Hurricane,36.242177333881365,110.4349004311891,607.5892553506457,2956,High,4611268.298363033
2015-12-23,Wildfire,15.617534828874074,45.54744479259563,708.8591736764201,1796,Medium,3376942.9262334965
2017-08-02,Hurricane,44.097295564859834,178.11801160358334,583.2269942635952,263,Medium,7154948.685548387
2011-04-02,Tornado,39.97327922401266,136.1602031751059,742.2480493181571,1770,Low,5160489.900809037
2022-12-09,Flood,21.370173320348286,160.65421994353866,266.1252798567132,498,High,1687555.145478612
2012-02-15,Earthquake,20.454749016213018,53.139306904271734,402.56753340123447,1618,Low,8955207.255219396
2010-03-22,Hurricane,20.502135295603015,56.87773620284278,11.26373062631254,2884,Medium,2999766.1872852594
2015-08-31,Wildfire,24.127267288786133,15.16684474992706,5.56606984263297,2596,Low,7338197.978747793
2012-08-29,Hurricane,30.742692948967136,83.90654612295378,192.1012963612159,759,Low,7821166.213143558
2012-07-10,Earthquake,27.958350559263472,142.13744202675036,80.6457577112682,429,Medium,9635261.23253541
2013-07-09,Flood,23.736874205941255,215.19405392934556,208.1690943486029,2837,Low,5035223.918588604
2022-05-12,Wildfire,33.35558684167138,168.39722462737677,141.63463562271792,2729,Medium,6196771.603097878
2022-05-11,Wildfire,19.184815819561255,111.6720992329391,22.81601987091859,1938,High,3415275.305447384
2012-05-16,Flood,23.764339456056547,238.51442802656376,727.4433171248395,1097,Medium,6813975.004779458
2018-09-27,Wildfire,25.99085529881075,181.21507414107882,6.57850511111322,588,High,4687496.510076566
2022-05-09,Wildfire,28.682099526511077,232.89047470132476,588.8657154696683,802,High,4432758.410771781
2013-02-19,Earthquake,38.55527884179041,134.2590534516806,121.71830953561323,584,Medium,8569128.538249444
2010-01-09,Earthquake,20.99021346475079,68.43154732431921,729.78369759968,722,High,596671.5506370177
2019-01-25,Flood,30.42703315240835,17.942538159356886,714.2367516719087,1114,Low,8831428.035535498
2019-01-21,Hurricane,32.772437065861276,182.89078861354338,523.1209170954058,617,Low,8535491.394502714
2021-02-20,Flood,16.393512381599933,34.719234511355864,537.7873198404841,1486,Medium,5113025.910261712
